,title,overview,release_date,popularity,vote_count
7712,The Full Monty,"Sheffield, England. Gaz, a jobless steelworker in need of quick cash persuades his mates to bare it all in a one-night-only strip show.",1997-08-13,8.967,951
7713,Missing in Action,"American servicemen are still being held captive in Vietnam and it's up to one man to bring them home in this blistering, fast-paced action/adventure starring martial arts superstar Chuck Norris.Following a daring escape from a Vietnamese POW camp, Special Forces Colonel James Braddock (Norris) is on a mission to locate and save remaining MIAs.",1984-11-16,12.552,225
7714,Walking on Sunshine,"Set to the music of popular hit songs from the 1980s. A beautiful coastal village, present day Italy. After a whirlwind romance, Maddie is preparing to marry gorgeous Italian Raf, and has invited her sister Taylor to the wedding. Unbeknownst to Maddie, however, Raf is Taylor's ex-holiday flame, and the love of her life...",2014-06-19,8.102,171
7715,The Lady,"The story of Aung San Suu Kyi as she becomes the core of Burma's democracy movement, and her relationship with her husband, writer Michael Aris.",2011-11-30,8.099,148
7716,Missing in Action 2: The Beginning,"Prequel to the first Missing In Action, set in the early 1980s it shows the capture of Colonel Braddock during the Vietnam war in the 1970s, and his captivity with other American POWs in a brutal prison camp, and his plans to escape.",1985-03-01,10.095,134
7717,Mr. Church,"A unique friendship develops when a little girl and her dying mother inherit a cook - Mr. Church. What begins as an arrangement that should only last six months, instead spans fifteen years.",2016-09-16,8.057,286
7718,Kuliah Cinta,"A romantic comedy about teenage life on campus. It tells the story of the friendship that develops between Jojo (Johana) and Faramy, since they were kids all the way through college. Things begin to change when they're assigned to oversee the induction of a group of junior students as Faramy secretly falls for one of the students in the group, Ayu. As Faramy and Ayu's relationship gains strength, Jojo is left feeling left out and neglected. At the same time, she receives an offer to go on an exchange student program to Australia and also gets to know a guy called Johan, making Faramy jealous. Both Faramy and Jojo feel the strain as they try to distance themselves from each other. Will Faramy stop Jojo from going to Australia? And what's the conclusion to the battle of egos between them?",2004-01-29,6.847,0
7719,Lay the Favorite,A former stripper's talent with numbers lands her a job with a professional gambler who runs a sports book in Las Vegas.,2012-06-22,6.35,143
7720,The Entity,"Barbara Hershey stars as Carla Moran, a hard-working single mother until the night she is raped in her bedroom by someone - or something - that she cannot see. Despite skeptical psychiatrists, she is repeatedly attacked in her car, in the bath, and in front of her children. Could this be a case of hysteria, a manifestation of childhood sexual trauma, or something even more horrific?",1982-09-30,8.345,197
7721,The Woman in the Window,A seductive woman gets an innocent professor mixed up in murder.,1944-10-25,7.345,133
7722,Oscar,"This film originated as a play in Paris. The story focuses on the one-day adventures of Bertrand Barnier played with a genius of French cinema, Louis de Funes. In the same morning he learns that his daughter is pregnant, an employee stole a large amount of money from his company, his maid is about to resign in order to marry a wealthy neighbor and his body builder is interested in marrying his daughter. The seemingly complicated story-line is full of comedy or errors and some of the most hilarious mime scenes of the French cinema.",1967-10-10,8.295,280
7723,The Bounty,"The familiar story of Lieutenant Bligh, whose cruelty leads to a mutiny on his ship. This version follows both the efforts of Fletcher Christian to get his men beyond the reach of British retribution, and the epic voyage of Lieutenant Bligh to get his loyalists safely to East Timor in a tiny lifeboat.",1984-05-04,9.044,269
7724,The After Party,"When an aspiring rapper goes viral for the wrong reasons, he thinks his career is sunk. But a wild party gives him one more chance to make it right.",2018-08-24,9.622,128
7725,Silent Running,"In a future Earth barren of all flora and fauna, the planet's ecosystems exist only in large pods attached to spacecraft. When word comes in that the pods are to be jettisoned into space and destroyed so that the spacecraft can be reused for commercial purposes, most of the crew of the Valley Forge rejoice at the prospect of going home. Not so for botanist Freeman Lowell who loves the forest and its creatures, so decides to take matters into his own hands to protect what he loves.",1972-03-09,11.594,300
7726,Deep Web,"Deep Web gives the inside story of one of the most important and riveting digital crime sagas of the century -- the arrest of Ross William Ulbricht, the 30-year-old entrepreneur convicted of being 'Dread Pirate Roberts,' creator and operator of online black market Silk Road. As the only film with exclusive access to the Ulbricht family, Deep Web explores how the brightest minds and thought leaders behind the Deep Web and Bitcoin are now caught in the crosshairs of the battle for control of a future inextricably linked to technology, with our digital rights hanging in the balance.",2015-03-15,8.802,176
7727,Innocent Blood,A beautiful vampire turns a crime lord into a creature of the night.,1992-09-25,8.344,106
7728,Death Note,"Light Yagami finds the ""Death Note,"" a notebook with the power to kill, and decides to create a Utopia by killing the world's criminals, and soon the world's greatest detective, ""L,"" is hired to find the mysterious murderer. An all out battle between the two greatest minds on earth begins and the winner will control the world.",2006-06-17,8.846,330
7729,Don't Be Bad,"A story set in the 90s and in the outskirts of Rome to Ostia. A world where money, luxury cars, night clubs, cocaine and synthetic drugs are easy to run. A world in which Vittorio and Cesare, in their early twenties, act in search of their success.",2015-09-08,9.503,605
7730,Fantastic Planet,"On the planet Ygam, the Draags, extremely technologically and spiritually advanced blue humanoids, consider the tiny Oms, human beings descendants of Terra's inhabitants, as ignorant animals. Those who live in slavery are treated as simple pets and used to entertain Draag children; those who live hidden in the hostile wilderness of the planet are periodically hunted and ruthlessly slaughtered as if they were vermin.",1973-12-01,7.094,360
7731,Pet Sematary II,"The ""sematary"" is up to its old zombie-raising tricks again. This time, the protagonists are Jeff Matthews, whose mother died in a Hollywood stage accident, and Drew Gilbert, a boy coping with an abusive stepfather.",1992-08-28,7.094,257
